title,current_price,discount_percentage,main_url,image,product_code,global_product_id,group_key,color_description,simple_color,sub_title,merch_product_id,internal_pid,consumer_channel_id
Nike SFB B2,170.0$,0%,https://www.nike.com/t/sfb-b2-mens-boots-Hjn3fB/FN3717-001,https://static.nike.com/a/images/t_default/dcb8b406-5812-4b65-bbac-2abe9269e867/NIKE+SFB+B2.png,FN3717-001,39f44f3e-331b-4453-8eea-325eec7a2271,Hjn3fB,Black/Black,Black,Men's Boots,edf3e4a4-276b-52ae-8e8b-c0663fcd99e4,1013566121,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike HyperSpeed Court,90.0$,0%,https://www.nike.com/t/hyperspeed-court-volleyball-shoes-vJLCz9/CI2964-100,https://static.nike.com/a/images/t_default/eff204fc-da4b-4139-9242-6c65cd9ca1f5/NIKE+ZOOM+HYPERSPEED+COURT.png,CI2964-100,cd8a96d1-6145-3ac4-a55e-15fb2e5c32b0,vJLCz9,White/Black,White,Volleyball Shoes,11e0de87-c5f6-51d0-9760-ba30a04d3e4f,13044885,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Nike SFB Field 2 8"" GORE-TEX",195.0$,0%,https://www.nike.com/t/sfb-field-2-8-gore-tex-tactical-boot-hk7SJs/AQ1199-001,https://static.nike.com/a/images/t_default/kw6obrcomthpmmmavrhh/NIKE+SFB+FIELD+2+8%27%27+GTX.png,AQ1199-001,0e721df2-d4e2-318f-a90e-6f9c5c586bbc,hk7SJs,Black/Black,Black,Tactical Boot,e54aae9a-514f-51dc-867b-91b2e2037461,12246837,d9a5bc42-4b9c-4976-858a-f159cf99c647
Converse Chuck 70 High Top,90.0$,0%,https://www.nike.com/t/converse-chuck-70-high-top-unisex-shoe-D7TWU3j3/162050C-001,https://static.nike.com/a/images/t_default/38804191-c6a4-4da1-b605-5bef350f912d/CHUCK+70+HI+BLACK%2FBLACK%2FEGRET.png,162050C-001,359a6ed8-38cb-3935-a543-1a2a0da11ee0,D7TWU3j3,Black,Black,Unisex Shoe,c2db4365-e080-5ef5-9de9-2dcb83b5eebb,12433922,d9a5bc42-4b9c-4976-858a-f159cf99c647
Jordan 1 Mid TD,150.0$,0%,https://www.nike.com/t/jordan-1-mid-td-mens-football-cleat-L05PM5/FJ6805-104,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/33503285-5355-4df4-abdd-cb6be1d07120/JORDAN+1+MID+TD.png",FJ6805-104,9654ec7c-1454-4f92-9b7a-6ad47423d458,L05PM5,White/Royal/Black,White,Men's Football Cleat,bfd36228-f3dc-54f7-a676-94e823ec3abc,1012439488,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Zoom Challenge,120.0$,0%,https://www.nike.com/t/zoom-challenge-mens-pickleball-shoes-TsV8q8/FQ4154-700,https://static.nike.com/a/images/t_default/079e2fc9-87eb-456c-b671-a106287b06d5/M+ZOOM+CHALLENGE+PB.png,FQ4154-700,7575a3de-e20a-48fc-9d30-abc35c28c8b2,TsV8q8,Volt/Armory Navy/Volt,Yellow,Men's Pickleball Shoes,c039a202-4d62-5659-800d-6bedb182657a,1015579762,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Air Force 1 Mid '07,125.0$,0%,https://www.nike.com/t/air-force-1-mid-07-mens-shoes-S1QClz/CW2289-111,https://static.nike.com/a/images/t_default/04421d64-7214-4718-ba73-93e6d1447bac/AIR+FORCE+1+MID+%2707.png,CW2289-111,58ab5028-3e43-343d-9b35-49e0334fd775,S1QClz,White/White,White,Men's Shoes,fa42ee25-4d9b-56a6-98f6-24ca98b22a9a,13071860,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Shox R4,150.0$,0%,https://www.nike.com/t/shox-r4-womens-shoes-QwoSqA4F/AR3565-004,https://static.nike.com/a/images/t_default/n0amlciyggdu1sjts3kz/NIKE+SHOX+R4.png,AR3565-004,6ae0d5bf-aeec-3b5b-8003-2dc89568588b,QwoSqA4F,Black/Black/Max Orange/Black,Black,Women's Shoes,20a057f6-98d7-5a75-b62b-8155fcf92d12,12544796,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Force Savage Pro 2,100.0$,0%,https://www.nike.com/t/force-savage-pro-2-mens-football-cleat-PHgwNl/AH4000-100,https://static.nike.com/a/images/t_default/sojyz32p0xqqyg2hvpqd/NIKE+FORCE+SAVAGE+PRO+2.png,AH4000-100,29310583-601e-3721-b084-5fcfc73e103d,PHgwNl,White/Wolf Grey/Black,White,Men's Football Cleat,910e237a-e8df-5139-bdca-b9b6d4c0ebe3,12544363,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Huarache 9 Elite LAX,140.0$,0%,https://www.nike.com/t/huarache-9-elite-lax-lacrosse-cleats-r025t2/FD0088-100,https://static.nike.com/a/images/t_default/55bb8021-4249-4739-9add-8daee04d7960/HUARACHE+9+ELITE+MID+LAX.png,FD0088-100,2f7352ad-46b1-4617-89d8-5859814180d5,r025t2,White/White/Metallic Vivid Gold,White,Lacrosse Cleats,390f850b-3787-5950-9d8a-2bdbf234b51a,1012850045,d9a5bc42-4b9c-4976-858a-f159cf99c647
NikeCourt Air Zoom Vapor 11,170.0$,0%,https://www.nike.com/t/nikecourt-air-zoom-vapor-11-mens-hard-court-tennis-shoes-pG5rtb/DR6966-005,https://static.nike.com/a/images/t_default/c2830040-2724-41e7-9227-b4a850c311c0/M+NIKE+ZOOM+VAPOR+11+HC.png,DR6966-005,e5b9c254-fcf3-413b-b155-267b8dc4c0b9,pG5rtb,Smoke Grey/Dark Smoke Grey/Sangria/Black,Grey,Men's Hard Court Tennis Shoes,18151a41-df3b-5639-a415-12e4a971093f,1015570250,d9a5bc42-4b9c-4976-858a-f159cf99c647
"Nike SFB Jungle 2 8"" Leather",185.0$,0%,https://www.nike.com/t/sfb-jungle-2-8-leather-mens-shoes-CF9ZML/FB1446-900,https://static.nike.com/a/images/t_default/1c2ad0b7-6ee9-43e4-95d7-2538542f3b00/NIKE+SFB+JUNGLE+2+8%22+LEATHER.png,FB1446-900,3c9c853d-c40c-4a36-a14c-65b3b1c3836b,CF9ZML,Coyote/Coyote,Brown,Men's Shoes,c50a41bf-1ab4-54f0-bfa4-7b2a4b923d12,1014139647,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Cygnal,180.0$,0%,https://www.nike.com/t/cygnal-mens-shoes-JD1SBt/FV4332-600,https://static.nike.com/a/images/t_default/b4f0cdad-c4e3-4648-867e-d027adacf93b/NIKE+CYGNAL.png,FV4332-600,4f853a47-ebeb-4ef2-88fc-a83574d4e18a,JD1SBt,University Red/Black/University Gold/Navy,Red,Men's Shoes,d2f3bfbe-b011-5c29-9e24-974dcd6582b4,1015652161,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Structure 25,140.0$,0%,https://www.nike.com/t/structure-25-mens-road-running-shoes-QrjsVJ/HV5222-100,https://static.nike.com/a/images/t_default/4f4c22c3-6b4e-4ea5-ba46-fdc5377053b0/NIKE+AIR+ZOOM+STRUCTURE+25.png,HV5222-100,bbd9be21-bd0d-45bb-9f78-9731b99cc022,QrjsVJ,White/Black/Sail/Photo Blue,White,Men's Road Running Shoes,950c27e3-4f1e-5288-b5bd-e677dedbeb7b,1015692387,d9a5bc42-4b9c-4976-858a-f159cf99c647
Converse Chuck 70 Low Top,85.0$,0%,https://www.nike.com/t/converse-chuck-70-low-top-unisex-shoe-oLKQgXII/162058C-001,https://static.nike.com/a/images/t_default/60e294f1-d6c9-48da-a01b-83d43c089351/CHUCK+70+OX+BLACK%2FBLACK%2FEGRET.png,162058C-001,42649151-5160-3f18-a7ec-fdf39c45cf32,oLKQgXII,Black,Black,Unisex Shoe,27465765-7516-5ff3-98a3-99262d6908dc,12433688,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Romaleos 4,200.0$,0%,https://www.nike.com/t/romaleos-4-weightlifting-shoes-r7zff9/CD3463-001,https://static.nike.com/a/images/t_default/2ba59af0-22f1-4bfd-ae02-d0a94a598d9f/NIKE+ROMALEOS+4.png,CD3463-001,672bf0a6-dafe-496a-85db-34eaa8f31c26,r7zff9,Black/Metallic Gold/White/Metallic Gold,Black,Weightlifting Shoes,4579b918-df3c-5e6c-bfce-2e54e1380017,1012408467,d9a5bc42-4b9c-4976-858a-f159cf99c647
Nike Tiempo Emerald Legend 10 Academy,80.0$,0%,https://www.nike.com/t/tiempo-emerald-legend-10-academy-tf-low-top-soccer-shoes-MHQL6V/FQ3245-300,https://static.nike.com/a/images/t_default/e358a28b-b1f3-4ec5-ad2c-17de0e7472ed/LEGEND+10+ACADEMY+TF+30.png,FQ3245-300,c35610f7-a06c-4387-9a04-9bda20bd994d,MHQL6V,Dark Atomic Teal/Sail,Green,TF Low-Top Soccer Shoes,b211f547-d7b4-5033-8ba2-9dd2a727ad90,1014722573,d9a5bc42-4b9c-4976-858a-f159cf99c647
